r,run,hops,n,p,q,grid_type
0,697,35,100,1,1,flat
0,698,15,100,1,1,flat
0,699,14,100,1,1,flat
0,700,23,100,1,1,flat
0,701,25,100,1,1,flat
0,702,17,100,1,1,flat
0,703,21,100,1,1,flat
0,704,41,100,1,1,flat
0,705,18,100,1,1,flat
0,706,29,100,1,1,flat
0,707,24,100,1,1,flat
0,708,11,100,1,1,flat
0,709,15,100,1,1,flat
0,710,3,100,1,1,flat
0,711,28,100,1,1,flat
0,712,28,100,1,1,flat
0,713,35,100,1,1,flat
0,714,34,100,1,1,flat
0,715,38,100,1,1,flat
0,716,14,100,1,1,flat
0,717,24,100,1,1,flat
0,718,41,100,1,1,flat
0,719,16,100,1,1,flat
0,720,24,100,1,1,flat
0,721,30,100,1,1,flat
0,722,39,100,1,1,flat
0,723,28,100,1,1,flat
0,724,21,100,1,1,flat
0,725,7,100,1,1,flat
0,726,9,100,1,1,flat
0,727,18,100,1,1,flat
0,728,32,100,1,1,flat
0,729,30,100,1,1,flat
0,730,37,100,1,1,flat
0,731,13,100,1,1,flat
0,732,24,100,1,1,flat
0,733,18,100,1,1,flat
0,734,14,100,1,1,flat
0,735,34,100,1,1,flat
0,736,5,100,1,1,flat
0,737,40,100,1,1,flat
0,738,28,100,1,1,flat
0,739,30,100,1,1,flat
0,740,15,100,1,1,flat
0,741,20,100,1,1,flat
0,742,23,100,1,1,flat
0,743,20,100,1,1,flat
0,744,24,100,1,1,flat
0,745,39,100,1,1,flat
0,746,14,100,1,1,flat
0,747,25,100,1,1,flat
0,748,21,100,1,1,flat
0,749,20,100,1,1,flat
0,750,30,100,1,1,flat
0,751,16,100,1,1,flat
0,752,24,100,1,1,flat
0,753,17,100,1,1,flat
0,754,46,100,1,1,flat
0,755,8,100,1,1,flat
0,756,37,100,1,1,flat
0,757,20,100,1,1,flat
0,758,22,100,1,1,flat
0,759,26,100,1,1,flat
0,760,6,100,1,1,flat
0,761,24,100,1,1,flat
0,762,6,100,1,1,flat
0,763,21,100,1,1,flat
0,764,32,100,1,1,flat
0,765,16,100,1,1,flat
0,766,16,100,1,1,flat
0,767,35,100,1,1,flat
0,768,20,100,1,1,flat
0,769,11,100,1,1,flat
0,770,23,100,1,1,flat
0,771,16,100,1,1,flat
0,772,25,100,1,1,flat
0,773,10,100,1,1,flat
0,774,23,100,1,1,flat
0,775,44,100,1,1,flat
0,776,21,100,1,1,flat
0,777,15,100,1,1,flat
0,778,11,100,1,1,flat
0,779,17,100,1,1,flat
0,780,17,100,1,1,flat
0,781,27,100,1,1,flat
0,782,14,100,1,1,flat
0,783,14,100,1,1,flat
0,784,5,100,1,1,flat
0,785,14,100,1,1,flat
0,786,33,100,1,1,flat
0,787,18,100,1,1,flat
0,788,19,100,1,1,flat
0,789,6,100,1,1,flat
0,790,28,100,1,1,flat
0,791,16,100,1,1,flat
0,792,16,100,1,1,flat
0,793,27,100,1,1,flat
0,794,25,100,1,1,flat
0,795,38,100,1,1,flat
0,796,13,100,1,1,flat
0,797,31,100,1,1,flat
0,798,18,100,1,1,flat
0,799,37,100,1,1,flat
0,800,35,100,1,1,flat
0,801,16,100,1,1,flat
0,802,18,100,1,1,flat
0,803,9,100,1,1,flat
0,804,29,100,1,1,flat
0,805,25,100,1,1,flat
0,806,23,100,1,1,flat
0,807,26,100,1,1,flat
0,808,10,100,1,1,flat
0,809,23,100,1,1,flat
0,810,29,100,1,1,flat
0,811,36,100,1,1,flat
0,812,10,100,1,1,flat
0,813,25,100,1,1,flat
0,814,44,100,1,1,flat
0,815,19,100,1,1,flat
0,816,19,100,1,1,flat
0,817,34,100,1,1,flat
0,818,15,100,1,1,flat
0,819,22,100,1,1,flat
0,820,12,100,1,1,flat
0,821,19,100,1,1,flat
0,822,28,100,1,1,flat
0,823,22,100,1,1,flat
0,824,18,100,1,1,flat
0,825,8,100,1,1,flat
0,826,18,100,1,1,flat
0,827,13,100,1,1,flat
0,828,18,100,1,1,flat
0,829,32,100,1,1,flat
0,830,27,100,1,1,flat
0,831,8,100,1,1,flat
0,832,19,100,1,1,flat
0,833,20,100,1,1,flat
0,834,25,100,1,1,flat
0,835,30,100,1,1,flat
0,836,10,100,1,1,flat
0,837,23,100,1,1,flat
0,838,17,100,1,1,flat
0,839,14,100,1,1,flat
0,840,3,100,1,1,flat
0,841,21,100,1,1,flat
0,842,32,100,1,1,flat
0,843,22,100,1,1,flat
0,844,15,100,1,1,flat
0,845,24,100,1,1,flat
0,846,23,100,1,1,flat
0,847,19,100,1,1,flat
0,848,14,100,1,1,flat
0,849,21,100,1,1,flat
0,850,16,100,1,1,flat
0,851,20,100,1,1,flat
0,852,28,100,1,1,flat
0,853,21,100,1,1,flat
0,854,33,100,1,1,flat
0,855,19,100,1,1,flat
0,856,45,100,1,1,flat
0,857,12,100,1,1,flat
0,858,13,100,1,1,flat
0,859,2,100,1,1,flat
0,860,29,100,1,1,flat
0,861,16,100,1,1,flat
0,862,17,100,1,1,flat
